uuid,name,date,total_capacity,free_space,used_space
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 22:02:20,32078,22640,9438
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 21:02:20,32078,25099,6979
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 20:02:20,32078,26654,5424
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 19:02:20,32078,25465,6613
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 18:02:20,32078,23929,8149
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 17:02:20,32078,22696,9382
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 16:02:20,32078,25869,6209
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 15:02:20,32078,27029,5049
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 14:02:20,32078,28942,3136
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 13:02:20,32078,27764,4314
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 12:02:20,32078,25007,7071
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 11:02:20,32078,26388,5690
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 10:02:20,32078,29083,2995
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 09:02:20,32078,29652,2426
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 08:02:20,32078,29145,2933
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 07:02:20,32078,31876,202
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 06:02:20,32078,32078,0
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 05:02:20,32078,31080,998
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 04:02:20,32078,28398,3680
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 03:02:20,32078,26979,5099
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 02:02:20,32078,28441,3637
3ccb774c-8ffd-423e-8138-97099fbbedf7,Volume_1,2023-11-21 01:02:20,32078,29781,2297
